result_id,result_name,sector_id,sector_name,fiscal_year,disbursements,value,male_value,female_value
10,learners enrolled in primary schools and/or equivalent non-school based settings,112,Basic Education,2019,,1620770,,
10,learners enrolled in primary schools and/or equivalent non-school based settings,112,Basic Education,2020,,1458974,746267,712707
12,learners received primary level reading interventions,112,Basic Education,2014,,846986,,
12,learners received primary level reading interventions,112,Basic Education,2015,,487041,,
12,learners received primary level reading interventions,112,Basic Education,2016,,1898711,,
12,learners received primary level reading interventions,112,Basic Education,2017,,369633,176695,192938
12,learners received primary level reading interventions,112,Basic Education,2018,,773847,381987,391860
12,learners received primary level reading interventions,112,Basic Education,2019,,1620770,,
1433,percent of learners demonstrated reading fluency and comprehension of grade level text at the end of grade 2,112,Basic Education,2016,,12,,
1433,percent of learners demonstrated reading fluency and comprehension of grade level text at the end of grade 2,112,Basic Education,2017,,35,,
27,schools used information and communication technology,112,Basic Education,2014,,2318,,
27,schools used information and communication technology,112,Basic Education,2015,,1900,,
27,schools used information and communication technology,112,Basic Education,2016,,1482,,
848,teachers and educators trained,112,Basic Education,2019,,11465,,
848,teachers and educators trained,112,Basic Education,2020,,10159,,
31,teaching and learning materials provided,112,Basic Education,2014,,6491942,,
31,teaching and learning materials provided,112,Basic Education,2015,,971298,,
31,teaching and learning materials provided,112,Basic Education,2016,,3251517,,
31,teaching and learning materials provided,112,Basic Education,2017,,357446,,
31,teaching and learning materials provided,112,Basic Education,2018,,289603,,
31,teaching and learning materials provided,112,Basic Education,2019,,1476577,,
1409,youth at risk of violence trained in social or leadership skills,112,Basic Education,2019,,100534,,
,disbursements,114,Higher Education,2014,158942,,,
,disbursements,114,Higher Education,2015,1259699,,,
,disbursements,114,Higher Education,2016,2643991,,,
,disbursements,114,Higher Education,2017,2554540,,,
,disbursements,114,Higher Education,2018,3548016,,,
,disbursements,114,Higher Education,2019,3119663,,,
,disbursements,114,Higher Education,2020,935620,,,
5,hours of training completed in workforce development,114,Higher Education,2014,,327800,,
5,hours of training completed in workforce development,114,Higher Education,2015,,90800,,
5,hours of training completed in workforce development,114,Higher Education,2016,,120400,,
1191,individuals improved skills following completion of workforce development programs,114,Higher Education,2017,,1909,,
1191,individuals improved skills following completion of workforce development programs,114,Higher Education,2018,,9058,,
1191,individuals improved skills following completion of workforce development programs,114,Higher Education,2019,,13822,,
1191,individuals improved skills following completion of workforce development programs,114,Higher Education,2020,,4274,1336,2938
780,people completed a workforce development program,114,Higher Education,2017,,1944,663,1281
780,people completed a workforce development program,114,Higher Education,2018,,11097,,
780,people completed a workforce development program,114,Higher Education,2019,,14365,,
780,people completed a workforce development program,114,Higher Education,2020,,4710,1537,3173
782,people obtained improved workforce readiness skills as a result of workforce development programs,114,Higher Education,2014,,3264,,
782,people obtained improved workforce readiness skills as a result of workforce development programs,114,Higher Education,2015,,902,,
781,people participated in workforce development programs,114,Higher Education,2014,,2937,,
781,people participated in workforce development programs,114,Higher Education,2015,,1008,,
17,people received new or better employment as a result of participation in workforce development programs,114,Higher Education,2014,,1679,,
17,people received new or better employment as a result of participation in workforce development programs,114,Higher Education,2015,,646,247,399
17,people received new or better employment as a result of participation in workforce development programs,114,Higher Education,2016,,729,389,340
17,people received new or better employment as a result of participation in workforce development programs,114,Higher Education,2018,,6149,,
17,people received new or better employment as a result of participation in workforce development programs,114,Higher Education,2019,,4373,,
17,people received new or better employment as a result of participation in workforce development programs,114,Higher Education,2020,,10310,3648,6662
1460,"percent of female participants in programs designed to increase access to productive economic resources (assets, credit, income or employment)",114,Higher Education,2016,,38,,
1460,"percent of female participants in programs designed to increase access to productive economic resources (assets, credit, income or employment)",114,Higher Education,2017,,71,,
1460,"percent of female participants in programs designed to increase access to productive economic resources (assets, credit, income or employment)",114,Higher Education,2018,,74,,
1461,percent of females reported increased self-efficacy at the conclusion of training or programming,114,Higher Education,2016,,50,,
33,workforce development initiatives completed as a result of public-private partnerships,114,Higher Education,2014,,36,,
33,workforce development initiatives completed as a result of public-private partnerships,114,Higher Education,2015,,18,,
33,workforce development initiatives completed as a result of public-private partnerships,114,Higher Education,2016,,13,,
,disbursements,121,"Health, General",2014,13689,,,
,disbursements,121,"Health, General",2015,615837,,,
,disbursements,121,"Health, General",2016,568089,,,
,disbursements,121,"Health, General",2017,368664,,,
,disbursements,121,"Health, General",2018,8553,,,
,disbursements,121,"Health, General",2019,342306,,,
,disbursements,121,"Health, General",2020,24199,,,
1375,areas with universal health coverage,121,"Health, General",2016,,4,,
1375,areas with universal health coverage,121,"Health, General",2017,,4,,
1375,areas with universal health coverage,121,"Health, General",2018,,4,,
1487,countries with support for integration of health information systems,121,"Health, General",2016,,1,,
1487,countries with support for integration of health information systems,121,"Health, General",2017,,1,,
1487,countries with support for integration of health information systems,121,"Health, General",2018,,1,,
1134,districts with action plans informed by data from national health information systems,121,"Health, General",2019,,30,,
,disbursements,122,Basic Health,2014,23565314,,,
,disbursements,122,Basic Health,2015,13629536,,,
,disbursements,122,Basic Health,2016,23239322,,,
,disbursements,122,Basic Health,2017,18542123,,,
,disbursements,122,Basic Health,2018,11634083,,,
,disbursements,122,Basic Health,2019,31544527,,,
,disbursements,122,Basic Health,2020,25423893,,,
47,artemisinin-based combination therapy (ACT) treatments purchased,122,Basic Health,2014,,1356330,,
47,artemisinin-based combination therapy (ACT) treatments purchased,122,Basic Health,2015,,2041710,,
47,artemisinin-based combination therapy (ACT) treatments purchased,122,Basic Health,2016,,622170,,
47,artemisinin-based combination therapy (ACT) treatments purchased,122,Basic Health,2017,,2992140,,
47,artemisinin-based combination therapy (ACT) treatments purchased,122,Basic Health,2018,,2842380,,
47,artemisinin-based combination therapy (ACT) treatments purchased,122,Basic Health,2019,,915630,,
47,artemisinin-based combination therapy (ACT) treatments purchased,122,Basic Health,2020,,1268160,,
48,artemisinin-based combination therapy (ACT) treatments purchased and distributed in this fiscal year,122,Basic Health,2014,,269430,,
48,artemisinin-based combination therapy (ACT) treatments purchased and distributed in this fiscal year,122,Basic Health,2015,,1876001,,
48,artemisinin-based combination therapy (ACT) treatments purchased and distributed in this fiscal year,122,Basic Health,2016,,622170,,
563,children under 2 years attended monthly growth monitoring and promotion with their weight plotted on growth card,122,Basic Health,2014,,29158,,
563,children under 2 years attended monthly growth monitoring and promotion with their weight plotted on growth card,122,Basic Health,2015,,33111,,
563,children under 2 years attended monthly growth monitoring and promotion with their weight plotted on growth card,122,Basic Health,2016,,130421,,
56,children under the age of 5 received vitamin A supplements,122,Basic Health,2014,,199215,,
56,children under the age of 5 received vitamin A supplements,122,Basic Health,2015,,57481,,
56,children under the age of 5 received vitamin A supplements,122,Basic Health,2016,,54639,,
57,children under the age of five reached by nutrition programs,122,Basic Health,2014,,435311,,
57,children under the age of five reached by nutrition programs,122,Basic Health,2015,,327612,,
1081,children under the age of five reached by nutrition-specific interventions,122,Basic Health,2016,,374006,,
1081,children under the age of five reached by nutrition-specific interventions,122,Basic Health,2017,,720034,349793,370241
1081,children under the age of five reached by nutrition-specific interventions,122,Basic Health,2018,,647357,317136,330221
1081,children under the age of five reached by nutrition-specific interventions,122,Basic Health,2019,,490228,237722,252506
1081,children under the age of five reached by nutrition-specific interventions,122,Basic Health,2020,,494984,241612,253372
1083,children under the age of two reached with community-level nutrition interventions,122,Basic Health,2016,,20842,10527,10315
1083,children under the age of two reached with community-level nutrition interventions,122,Basic Health,2017,,261044,123636,137408
1083,children under the age of two reached with community-level nutrition interventions,122,Basic Health,2018,,199615,98198,101417
1083,children under the age of two reached with community-level nutrition interventions,122,Basic Health,2019,,232951,,
1083,children under the age of two reached with community-level nutrition interventions,122,Basic Health,2020,,242886,119706,123180
61,health care workers trained in case management with artemisinin-based combination therapy,122,Basic Health,2014,,5898,,
61,health care workers trained in case management with artemisinin-based combination therapy,122,Basic Health,2015,,5314,,
61,health care workers trained in case management with artemisinin-based combination therapy,122,Basic Health,2016,,2488,1184,1304
61,health care workers trained in case management with artemisinin-based combination therapy,122,Basic Health,2020,,53,,
62,"health care workers trained in malaria laboratory diagnostics, such as rapid diagnostic tests and microscopy",122,Basic Health,2014,,5898,,
62,"health care workers trained in malaria laboratory diagnostics, such as rapid diagnostic tests and microscopy",122,Basic Health,2015,,5314,,
65,houses sprayed with indoor residual spraying,122,Basic Health,2014,,173086,,
65,houses sprayed with indoor residual spraying,122,Basic Health,2015,,304199,,
65,houses sprayed with indoor residual spraying,122,Basic Health,2016,,198970,,
65,houses sprayed with indoor residual spraying,122,Basic Health,2020,,334802,,
66,houses targeted for indoor residual spraying,122,Basic Health,2014,,174411,,
66,houses targeted for indoor residual spraying,122,Basic Health,2015,,308772,,
66,houses targeted for indoor residual spraying,122,Basic Health,2016,,200278,,
66,houses targeted for indoor residual spraying,122,Basic Health,2020,,319772,,
1186,individuals received nutrition-related professional training,122,Basic Health,2017,,17263,7620,9643
1186,individuals received nutrition-related professional training,122,Basic Health,2018,,9974,3812,6162
1186,individuals received nutrition-related professional training,122,Basic Health,2019,,6684,,
1186,individuals received nutrition-related professional training,122,Basic Health,2020,,12888,4435,8453
51,insecticide treated nets were purchased,122,Basic Health,2014,,1400000,,
51,insecticide treated nets were purchased,122,Basic Health,2015,,375000,,
51,insecticide treated nets were purchased,122,Basic Health,2016,,1000000,,
1000,national multi-sectoral nutrition plans or policies in place that includes responding to emergency nutrition needs,122,Basic Health,2017,,1,,
1000,national multi-sectoral nutrition plans or policies in place that includes responding to emergency nutrition needs,122,Basic Health,2018,,1,,
1000,national multi-sectoral nutrition plans or policies in place that includes responding to emergency nutrition needs,122,Basic Health,2019,,1,,
1000,national multi-sectoral nutrition plans or policies in place that includes responding to emergency nutrition needs,122,Basic Health,2020,,1,,
74,people trained in child health and nutrition,122,Basic Health,2014,,215396,,
74,people trained in child health and nutrition,122,Basic Health,2015,,347389,,
74,people trained in child health and nutrition,122,Basic Health,2016,,23097,,
77,people trained to deliver indoor residual spraying,122,Basic Health,2014,,1501,,
77,people trained to deliver indoor residual spraying,122,Basic Health,2015,,2005,882,1123
77,people trained to deliver indoor residual spraying,122,Basic Health,2016,,1833,827,1006
77,people trained to deliver indoor residual spraying,122,Basic Health,2020,,2882,,
1489,percent of children under the age of two who consumed targeted nutrient rich value chain commodities,122,Basic Health,2019,,20,,
1489,percent of children under the age of two who consumed targeted nutrient rich value chain commodities,122,Basic Health,2020,,49,,
799,pregnant and lactating women attended nutrition education and counseling at community based nutrition promotion sites,122,Basic Health,2014,,36507,,
799,pregnant and lactating women attended nutrition education and counseling at community based nutrition promotion sites,122,Basic Health,2015,,50779,,
1316,pregnant women reached by nutrition-specific interventions,122,Basic Health,2016,,107294,,
1316,pregnant women reached by nutrition-specific interventions,122,Basic Health,2017,,74212,,
1316,pregnant women reached by nutrition-specific interventions,122,Basic Health,2018,,67731,,
1316,pregnant women reached by nutrition-specific interventions,122,Basic Health,2019,,61459,,61459
1316,pregnant women reached by nutrition-specific interventions,122,Basic Health,2020,,66077,,
52,rapid diagnostic tests purchased,122,Basic Health,2014,,1162020,,
52,rapid diagnostic tests purchased,122,Basic Health,2018,,3500040,,
52,rapid diagnostic tests purchased,122,Basic Health,2020,,23040,,
83,rapid diagnostic tests purchased and distributed,122,Basic Health,2014,,500010,,
83,rapid diagnostic tests purchased and distributed,122,Basic Health,2015,,489810,,
83,rapid diagnostic tests purchased and distributed,122,Basic Health,2016,,672190,,
84,resident's homes were sprayed with residual spraying,122,Basic Health,2014,,705048,,
84,resident's homes were sprayed with residual spraying,122,Basic Health,2015,,1248678,597237,651441
84,resident's homes were sprayed with residual spraying,122,Basic Health,2016,,812714,392834,419880
1798,residents of sprayed houses,122,Basic Health,2020,,1355656,,
,disbursements,130,"Maternal and Child Health, Family Planning",2014,10390333,,,
,disbursements,130,"Maternal and Child Health, Family Planning",2015,19888626,,,
,disbursements,130,"Maternal and Child Health, Family Planning",2016,24031905,,,
,disbursements,130,"Maternal and Child Health, Family Planning",2017,17372507,,,
,disbursements,130,"Maternal and Child Health, Family Planning",2018,20973613,,,
,disbursements,130,"Maternal and Child Health, Family Planning",2019,19187840,,,
,disbursements,130,"Maternal and Child Health, Family Planning",2020,14701614,,,
97,additional community health workers provided family planning (FP) information and services,130,"Maternal and Child Health, Family Planning",2014,,966,,
97,additional community health workers provided family planning (FP) information and services,130,"Maternal and Child Health, Family Planning",2015,,2288,,
97,additional community health workers provided family planning (FP) information and services,130,"Maternal and Child Health, Family Planning",2016,,3617,,
547,babies received postnatal care within two days of birth,130,"Maternal and Child Health, Family Planning",2016,,45064,,
547,babies received postnatal care within two days of birth,130,"Maternal and Child Health, Family Planning",2019,,188241,,
547,babies received postnatal care within two days of birth,130,"Maternal and Child Health, Family Planning",2020,,193817,,
99,cases of diarrhea treated in children,130,"Maternal and Child Health, Family Planning",2014,,47711,,
99,cases of diarrhea treated in children,130,"Maternal and Child Health, Family Planning",2015,,57417,,
99,cases of diarrhea treated in children,130,"Maternal and Child Health, Family Planning",2016,,53200,,
99,cases of diarrhea treated in children,130,"Maternal and Child Health, Family Planning",2017,,63498,,
99,cases of diarrhea treated in children,130,"Maternal and Child Health, Family Planning",2018,,73841,,
99,cases of diarrhea treated in children,130,"Maternal and Child Health, Family Planning",2019,,140379,,
99,cases of diarrhea treated in children,130,"Maternal and Child Health, Family Planning",2020,,138919,,
101,children under the age of 5 with suspected pneumonia received antibiotics by trained facility or community health workers,130,"Maternal and Child Health, Family Planning",2014,,49218,,
101,children under the age of 5 with suspected pneumonia received antibiotics by trained facility or community health workers,130,"Maternal and Child Health, Family Planning",2015,,68341,,
101,children under the age of 5 with suspected pneumonia received antibiotics by trained facility or community health workers,130,"Maternal and Child Health, Family Planning",2016,,59144,,
101,children under the age of 5 with suspected pneumonia received antibiotics by trained facility or community health workers,130,"Maternal and Child Health, Family Planning",2020,,171763,,
102,"communities certified as ""open defecation free""",130,"Maternal and Child Health, Family Planning",2018,,51,,
102,"communities certified as ""open defecation free""",130,"Maternal and Child Health, Family Planning",2019,,57,,
102,"communities certified as ""open defecation free""",130,"Maternal and Child Health, Family Planning",2020,,102,,
1392,"community health workers provide family planning information, referrals, and/or services during the year",130,"Maternal and Child Health, Family Planning",2017,,13295,4467,8828
1392,"community health workers provide family planning information, referrals, and/or services during the year",130,"Maternal and Child Health, Family Planning",2018,,14328,4927,9401
1392,"community health workers provide family planning information, referrals, and/or services during the year",130,"Maternal and Child Health, Family Planning",2019,,28516,9505,19011
1392,"community health workers provide family planning information, referrals, and/or services during the year",130,"Maternal and Child Health, Family Planning",2020,,28515,9505,19010
106,couple years protected,130,"Maternal and Child Health, Family Planning",2014,,844917,,
106,couple years protected,130,"Maternal and Child Health, Family Planning",2015,,1065298,,
1020,couple years protection,130,"Maternal and Child Health, Family Planning",2016,,968620,,
1020,couple years protection,130,"Maternal and Child Health, Family Planning",2017,,1018198,,
1020,couple years protection,130,"Maternal and Child Health, Family Planning",2018,,1077842,,
1020,couple years protection,130,"Maternal and Child Health, Family Planning",2019,,1083252,,
1020,couple years protection,130,"Maternal and Child Health, Family Planning",2020,,963739,,
651,individuals served through USAID directly-funded civil society organizations,130,"Maternal and Child Health, Family Planning",2014,,165991,,
651,individuals served through USAID directly-funded civil society organizations,130,"Maternal and Child Health, Family Planning",2015,,229062,,
651,individuals served through USAID directly-funded civil society organizations,130,"Maternal and Child Health, Family Planning",2016,,562805,,
651,individuals served through USAID directly-funded civil society organizations,130,"Maternal and Child Health, Family Planning",2019,,458622,,
651,individuals served through USAID directly-funded civil society organizations,130,"Maternal and Child Health, Family Planning",2020,,370101,,
736,newborns not breathing at birth resuscitated,130,"Maternal and Child Health, Family Planning",2014,,2042,,
736,newborns not breathing at birth resuscitated,130,"Maternal and Child Health, Family Planning",2017,,5805,,
736,newborns not breathing at birth resuscitated,130,"Maternal and Child Health, Family Planning",2018,,3834,,
736,newborns not breathing at birth resuscitated,130,"Maternal and Child Health, Family Planning",2019,,6570,,
736,newborns not breathing at birth resuscitated,130,"Maternal and Child Health, Family Planning",2020,,6576,,
766,people trained in maternal or newborn health,130,"Maternal and Child Health, Family Planning",2014,,173,,
766,people trained in maternal or newborn health,130,"Maternal and Child Health, Family Planning",2015,,393,,
125,percent of an audience who recalled hearing or seeing a specific family planning or reproductive health message,130,"Maternal and Child Health, Family Planning",2017,,75,,
125,percent of an audience who recalled hearing or seeing a specific family planning or reproductive health message,130,"Maternal and Child Health, Family Planning",2018,,87,,
125,percent of an audience who recalled hearing or seeing a specific family planning or reproductive health message,130,"Maternal and Child Health, Family Planning",2019,,51,,
125,percent of an audience who recalled hearing or seeing a specific family planning or reproductive health message,130,"Maternal and Child Health, Family Planning",2020,,97,,
1446,percent of service delivery sites providing family planning counseling and/or services,130,"Maternal and Child Health, Family Planning",2017,,100,,
1446,percent of service delivery sites providing family planning counseling and/or services,130,"Maternal and Child Health, Family Planning",2018,,100,,
1446,percent of service delivery sites providing family planning counseling and/or services,130,"Maternal and Child Health, Family Planning",2019,,100,,
1446,percent of service delivery sites providing family planning counseling and/or services,130,"Maternal and Child Health, Family Planning",2020,,100,,
1491,percent of women of reproductive age who consumed targeted nutrient rich value chain commodities,130,"Maternal and Child Health, Family Planning",2019,,4,,
1491,percent of women of reproductive age who consumed targeted nutrient rich value chain commodities,130,"Maternal and Child Health, Family Planning",2020,,51,,
822,service delivery points experienced stock-outs of specific contraceptives,130,"Maternal and Child Health, Family Planning",2015,,46,,
1013,stock out rate (average) of contraceptive commodities at family planning service delivery points,130,"Maternal and Child Health, Family Planning",2016,,22,,
1013,stock out rate (average) of contraceptive commodities at family planning service delivery points,130,"Maternal and Child Health, Family Planning",2017,,3,,
1013,stock out rate (average) of contraceptive commodities at family planning service delivery points,130,"Maternal and Child Health, Family Planning",2018,,3,,
1013,stock out rate (average) of contraceptive commodities at family planning service delivery points,130,"Maternal and Child Health, Family Planning",2019,,1,,
1013,stock out rate (average) of contraceptive commodities at family planning service delivery points,130,"Maternal and Child Health, Family Planning",2020,,2,,
1405,"women and children received family planning and maternal, neonatal and child health services",130,"Maternal and Child Health, Family Planning",2020,,204665,,
1406,women giving birth received uterotonics in the third stage of labor or immediately after birth,130,"Maternal and Child Health, Family Planning",2016,,90845,,
1406,women giving birth received uterotonics in the third stage of labor or immediately after birth,130,"Maternal and Child Health, Family Planning",2017,,89892,,
1406,women giving birth received uterotonics in the third stage of labor or immediately after birth,130,"Maternal and Child Health, Family Planning",2018,,83789,,
1406,women giving birth received uterotonics in the third stage of labor or immediately after birth,130,"Maternal and Child Health, Family Planning",2019,,190343,,
1406,women giving birth received uterotonics in the third stage of labor or immediately after birth,130,"Maternal and Child Health, Family Planning",2020,,202764,,
152,women received surgery for fistula,130,"Maternal and Child Health, Family Planning",2014,,128,,
152,women received surgery for fistula,130,"Maternal and Child Health, Family Planning",2015,,43,,
152,women received surgery for fistula,130,"Maternal and Child Health, Family Planning",2016,,44,,
152,women received surgery for fistula,130,"Maternal and Child Health, Family Planning",2019,,117,,
152,women received surgery for fistula,130,"Maternal and Child Health, Family Planning",2020,,90,,
153,women received uterotonics in the third stage of labor during childbirth,130,"Maternal and Child Health, Family Planning",2014,,20274,,
153,women received uterotonics in the third stage of labor during childbirth,130,"Maternal and Child Health, Family Planning",2015,,145804,,
,disbursements,134,HIV/AIDS,2014,32872129,,,
,disbursements,134,HIV/AIDS,2015,18038265,,,
,disbursements,134,HIV/AIDS,2016,11779194,,,
,disbursements,134,HIV/AIDS,2017,14899806,,,
,disbursements,134,HIV/AIDS,2018,11033472,,,
,disbursements,134,HIV/AIDS,2019,31874272,,,
,disbursements,134,HIV/AIDS,2020,21434006,,,
,disbursements,140,Water Supply and Sanitation,2014,1401063,,,
,disbursements,140,Water Supply and Sanitation,2015,1318801,,,
,disbursements,140,Water Supply and Sanitation,2016,889392,,,
,disbursements,140,Water Supply and Sanitation,2017,3025803,,,
,disbursements,140,Water Supply and Sanitation,2018,6052994,,,
,disbursements,140,Water Supply and Sanitation,2019,7113796,,,
,disbursements,140,Water Supply and Sanitation,2020,5851486,,,
640,households with clean latrines including covers,140,Water Supply and Sanitation,2015,,16673,,
640,households with clean latrines including covers,140,Water Supply and Sanitation,2016,,31463,,
156,improved toilets provided in institutional settings,140,Water Supply and Sanitation,2014,,45,,
159,liters of drinking water disinfected with point-of-use treatment products,140,Water Supply and Sanitation,2014,,311720000,,
159,liters of drinking water disinfected with point-of-use treatment products,140,Water Supply and Sanitation,2015,,204780000,,
159,liters of drinking water disinfected with point-of-use treatment products,140,Water Supply and Sanitation,2016,,159180000,,
1280,people gained access to a basic sanitation service,140,Water Supply and Sanitation,2018,,225154,110100,115054
1280,people gained access to a basic sanitation service,140,Water Supply and Sanitation,2019,,370333,,
1280,people gained access to a basic sanitation service,140,Water Supply and Sanitation,2020,,696539,343883,352656
161,people gained access to an improved drinking water source,140,Water Supply and Sanitation,2014,,10160,,
161,people gained access to an improved drinking water source,140,Water Supply and Sanitation,2015,,20721,,
160,people gained access to an improved sanitation facility,140,Water Supply and Sanitation,2014,,6325,,
1282,people gained access to basic drinking water services,140,Water Supply and Sanitation,2019,,251811,,
1282,people gained access to basic drinking water services,140,Water Supply and Sanitation,2020,,237103,,
1464,percent of households with soap and water at a handwashing station commonly used by family members,140,Water Supply and Sanitation,2018,,28,,
1464,percent of households with soap and water at a handwashing station commonly used by family members,140,Water Supply and Sanitation,2019,,36,,
1464,percent of households with soap and water at a handwashing station commonly used by family members,140,Water Supply and Sanitation,2020,,31,,
,disbursements,151,Government and Civil Society,2014,1775341,,,
,disbursements,151,Government and Civil Society,2015,3810428,,,
,disbursements,151,Government and Civil Society,2016,718328,,,
,disbursements,151,Government and Civil Society,2017,1080835,,,
,disbursements,151,Government and Civil Society,2018,3113196,,,
,disbursements,151,Government and Civil Society,2019,6452447,,,
,disbursements,151,Government and Civil Society,2020,4552289,,,
501,average difference between pre- and post-training test scores measuring improved professional knowledge acquired during training sessions,151,Government and Civil Society,2014,,38,,
501,average difference between pre- and post-training test scores measuring improved professional knowledge acquired during training sessions,151,Government and Civil Society,2015,,39,,
190,civil society organizations advocacy interventions supported by USAID,151,Government and Civil Society,2014,,12,,
190,civil society organizations advocacy interventions supported by USAID,151,Government and Civil Society,2015,,18,,
1088,civil society organizations engaged in advocacy interventions,151,Government and Civil Society,2016,,10,,
1088,civil society organizations engaged in advocacy interventions,151,Government and Civil Society,2017,,12,,
1088,civil society organizations engaged in advocacy interventions,151,Government and Civil Society,2018,,57,,
1088,civil society organizations engaged in advocacy interventions,151,Government and Civil Society,2019,,44,,
1088,civil society organizations engaged in advocacy interventions,151,Government and Civil Society,2020,,119,,
1104,"consensus building forums (multi-party, civil/security sector, and/or civil/political) held",151,Government and Civil Society,2016,,3,,
193,consensus building forums held,151,Government and Civil Society,2014,,9,,
193,consensus building forums held,151,Government and Civil Society,2015,,18,,
201,courts with improved case management systems,151,Government and Civil Society,2019,,60,,
201,courts with improved case management systems,151,Government and Civil Society,2020,,60,,
215,groups trained in conflict mediation and resolution skills or consensus building techniques,151,Government and Civil Society,2014,,12,,
215,groups trained in conflict mediation and resolution skills or consensus building techniques,151,Government and Civil Society,2015,,12,,
215,groups trained in conflict mediation and resolution skills or consensus building techniques,151,Government and Civil Society,2019,,21,,21
215,groups trained in conflict mediation and resolution skills or consensus building techniques,151,Government and Civil Society,2020,,21,,21
217,human rights defenders trained and supported,151,Government and Civil Society,2015,,36,,
217,human rights defenders trained and supported,151,Government and Civil Society,2016,,35,25,10
217,human rights defenders trained and supported,151,Government and Civil Society,2017,,17,,
650,individuals from civil society organizations and government institutions demonstrated increased capacity to impart quality land-related legal assistance,151,Government and Civil Society,2014,,12,,
650,individuals from civil society organizations and government institutions demonstrated increased capacity to impart quality land-related legal assistance,151,Government and Civil Society,2015,,80,,
219,individuals or groups from low income or marginalized communities received legal aid or victim's assistance,151,Government and Civil Society,2019,,2393,1240,1153
219,individuals or groups from low income or marginalized communities received legal aid or victim's assistance,151,Government and Civil Society,2020,,4238,1528,2710
222,individuals received voter and civic education,151,Government and Civil Society,2014,,505,,
222,individuals received voter and civic education,151,Government and Civil Society,2015,,61,40,21
223,judges and judicial personnel trained,151,Government and Civil Society,2019,,367,205,162
223,judges and judicial personnel trained,151,Government and Civil Society,2020,,367,205,162
987,local organizational capacity assessment score,151,Government and Civil Society,2014,,81,,
987,local organizational capacity assessment score,151,Government and Civil Society,2015,,83,,
239,non-state news outlets assisted,151,Government and Civil Society,2014,,63,,
239,non-state news outlets assisted,151,Government and Civil Society,2015,,63,,
753,"people reached by an intervention providing gender-based violence services, such as health, legal, psycho-social counseling, shelters, or hotlines",151,Government and Civil Society,2016,,3729,596,3133
753,"people reached by an intervention providing gender-based violence services, such as health, legal, psycho-social counseling, shelters, or hotlines",151,Government and Civil Society,2017,,49867,,
753,"people reached by an intervention providing gender-based violence services, such as health, legal, psycho-social counseling, shelters, or hotlines",151,Government and Civil Society,2018,,8069,,
